phase	dataset	seed	results_json	params
clip_visual_only	CIFAR100	8	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed8_20260510-130909/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	8	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed8_20260510-131120/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	8	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed8_20260510-131918/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	8	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed8_20260510-132132/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	8	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed8_20260510-132933/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	8	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed8_20260510-133053/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	9	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed9_20260510-133513/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	9	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed9_20260510-133724/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	9	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed9_20260510-134523/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	9	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed9_20260510-134737/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	9	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed9_20260510-135538/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	9	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed9_20260510-135659/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	10	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed10_20260510-140119/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	10	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed10_20260510-140330/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	10	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed10_20260510-141131/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	10	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed10_20260510-141343/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	10	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed10_20260510-142146/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	10	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed10_20260510-142306/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	11	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed11_20260510-142727/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	11	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed11_20260510-142939/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	11	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed11_20260510-143739/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	11	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed11_20260510-143951/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	11	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed11_20260510-144755/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	11	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed11_20260510-144915/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	12	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed12_20260510-145336/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	12	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed12_20260510-145548/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	12	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed12_20260510-150349/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	12	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed12_20260510-150601/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	12	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed12_20260510-151405/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	12	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed12_20260510-151525/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	13	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed13_20260510-151946/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	13	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed13_20260510-152158/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	13	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed13_20260510-152959/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	13	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed13_20260510-153211/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	13	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed13_20260510-154015/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	13	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed13_20260510-154136/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	14	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed14_20260510-154558/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	14	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed14_20260510-154810/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	14	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed14_20260510-155611/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	14	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed14_20260510-155824/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	14	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed14_20260510-160628/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	14	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed14_20260510-160748/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	15	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed15_20260510-161210/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	15	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed15_20260510-161421/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	15	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed15_20260510-162222/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	15	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed15_20260510-162435/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	15	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed15_20260510-163239/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	15	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed15_20260510-163400/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	16	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed16_20260510-163822/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	16	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed16_20260510-164034/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	16	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed16_20260510-164835/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	16	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed16_20260510-165048/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	16	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed16_20260510-165852/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	16	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed16_20260510-170013/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	17	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed17_20260510-170434/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	17	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed17_20260510-170646/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	17	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed17_20260510-171448/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	17	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed17_20260510-171701/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	17	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed17_20260510-172505/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	17	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed17_20260510-172626/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	18	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed18_20260510-173048/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	18	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed18_20260510-173300/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	18	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed18_20260510-174102/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	18	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed18_20260510-174315/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	18	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed18_20260510-175120/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	18	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed18_20260510-175240/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	19	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed19_20260510-175702/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	19	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed19_20260510-175914/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	19	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed19_20260510-180715/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	19	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed19_20260510-180928/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	19	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed19_20260510-181732/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	19	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed19_20260510-181853/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	20	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed20_20260510-182314/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	20	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed20_20260510-182526/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	20	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed20_20260510-183328/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	20	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed20_20260510-183541/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	20	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed20_20260510-184345/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	20	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed20_20260510-184506/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
