phase	dataset	seed	results_json	params
dino_visual_only	miniimagenet	6	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed6_20260511-211725/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	6	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed6_20260511-212532/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	7	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed7_20260511-212957/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	7	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed7_20260511-213800/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	7	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed7_20260511-214607/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	8	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed8_20260511-215031/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	8	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed8_20260511-215834/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	8	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed8_20260511-220642/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	9	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed9_20260511-221106/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	9	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed9_20260511-221910/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	9	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed9_20260511-222717/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	10	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed10_20260511-223141/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	10	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed10_20260511-223945/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	10	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed10_20260511-224753/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	11	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed11_20260511-225217/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	11	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed11_20260511-230020/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	11	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed11_20260511-230827/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	12	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed12_20260511-231251/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	12	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed12_20260511-232054/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	12	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed12_20260511-232902/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	13	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed13_20260511-233326/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	13	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed13_20260511-234130/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	13	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed13_20260511-234938/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	14	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed14_20260511-235402/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	14	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed14_20260512-000206/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	14	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed14_20260512-001014/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	15	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed15_20260512-001437/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	15	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed15_20260512-002242/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	15	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed15_20260512-003050/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	16	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed16_20260512-003514/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	16	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed16_20260512-004318/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	16	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed16_20260512-005126/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	17	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed17_20260512-005550/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	17	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed17_20260512-010354/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	17	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed17_20260512-011218/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	18	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed18_20260512-011710/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	18	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed18_20260512-012549/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	18	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed18_20260512-013450/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	19	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed19_20260512-013945/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	19	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed19_20260512-014833/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	19	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed19_20260512-015728/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	20	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed20_20260512-020221/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	20	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed20_20260512-021110/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	20	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed20_20260512-022006/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
